,flag
 2 月 29 日至 4 月 2 日到過英國，返港後,nt
 3 月 19 日返港，,nz
強制家居檢疫。 3 月 21 日發病，,nz
、喉嚨痛症狀。,nz
英國， 3 月 24 日返港，,nz
強制家居檢疫人士。 3 月 28 日發病，,nz
發燒、咳嗽、頭痛症狀。,nz
第 #835 宗個案,nz
，任職,nr
銅鑼灣皇室堡馬莎，負責收銀及上貨。 3 月 23 日出現流鼻水症狀。 3 月 25 日,nt
 CEO Neway 8 人卡拉 OK 聚會，期間沒戴口罩。最後上班日期為 3 月 28 日。（衞生署於 4 月 7 日記者會更正聚會人數為 8 人）,nt
欄為,v
適用,v
檢疫中心第 12 日時覆檢深喉樣本,nt
陽性，並無出現病徵。,nz
第 #411 宗,m
外遊紀錄。 3 月 26 日進入檢疫中心,nt
，覆檢時呈現陽性，並無出現病徵。,nz
 All Night Long 職員，屬「酒吧及樂隊」群組。檢疫中心覆檢時呈陽性，由檢疫中心,nt
院，並無出現病徵。,nz
與第 #908 及 #909 宗個案,nz
 2 月 27 日至 4 月 5 日,nz
、智利、復活島,nr
秘魯，,nr
亞洲博覽館送院。並無出現病徵。患者與第 #907 及 #909 宗個案,nt
亞洲博覽館送院。並無出現病徵。患者與第 #907 及 #908 宗個案,nt
亞洲博覽館送院。並無出現病徵。患者與第 #911 宗個案,nt
 月 6 至 4 月 5 日,nr
行,v
亞洲博覽館送院。 3 月 27 日發病，,nt
發燒、咳嗽症狀。,nz
與第 #910 宗個案,nz
為情侶，,nr
 3 月 6 日至 4 月 5 日,nz
秘魯旅行，,nt
第 #913 宗個案,nz
，母親（第 #447 宗個案,nz
 All Night Long 酒吧工作。 3 月 27 日發病，,nt
第 #912 宗個案,nz
 All Night Long 酒吧工作，居,nt
何文田,PER
愛民邨昭民樓。 3 月 27 日發病，,nt
 3 月 2 日至 3 月 24 日,nz
過尼日利亞，,nr
強制家居檢疫。 3 月 30 日發病，,nz
智利,LOC
強制家居檢疫。 4 月 3 日發病，,nt
英國， 3 月 14 日,nt
喉嚨痛， 4 月 4 日返港，,nz
，為英國留學生，,nz
英國時與第 #922 宗個案,nz
。 4 月 4 日返港，,nz
， 2 月 13 日至 4 月 4 日,nz
強制家居檢疫。 4 月 4 日,nt
， 3 月 22 日至 4 月 4 日,nz
美國， 3 月 23 日,nt
，4 月 4 日返港，,nz
傭，過,nr
 2 月 1 日至 4 月 4 日,nz
英國時與第 #917 宗個案,nz
外遊紀錄，為馬莎員工，任職於尖沙咀辦公室， 3 月 25 日曾與第 #903 、#925 及 #932 宗個案,nt
 CEO Neway ,nr
聚會。 4 月 3 日開始頭痛。,nt
第 #759 宗個案,nz
，無外遊紀錄。 4 月 3 日,nz
發冷。,nr
，無外遊紀錄，為馬莎員工，任職於銅鑼灣分店。 3 月 25 日與第 #903 、 #923 及 #932 宗個案,nt
聚會。 4 月 4 日,nt
第 #864 宗個案,nz
太太，屬「,nz
樂隊」群組，有長期病患，無外遊紀錄。 4 月 1 日,nz
嗅覺、鼻塞,nz
，為英,nr
學生。 4 月 5 日開始喉嚨痛，4 月 6 日返港後,nt
，無外遊紀錄，為第 #526 宗個案,nz
樂隊」群組。 4 月 3 日開始發燒。,nz
樂隊」群組，與,nz
灣仔益誠樓一單位，並,nz
單位,n
分,v
租給,v
第 #477 及 #525 宗個案,nz
共用,v
廁,n
4 月 6 日,nz
，無外遊紀錄，為第 #453 宗個案,nz
兒子，屬「,nr
，為第 #461 宗個案,nz
夫妻,n
 3 月 13 至 23 日,nz
，無外遊紀錄，為馬莎員工，,nz
環,n
， 3 月 25 日與第 #903 、#923 及 #925 宗個案,nz
聚會。 3 月 29 日,nt
為尼泊爾,nr
懷,v
孕 ,v
19 週期,m
與兒子,nr
廟街。 4 月 2 日,nt
，4 月 2 日返港後,nz
強制家居檢疫， 4 月 6 日,nt
， 2 月 26 日至 3 月 19 日,nz
強制家居檢疫。 3 月 11 日,nt
，3 月 7 日至 22 日到過冰島,nz
英國，返港後接強制家居檢疫。 4 月 4 日,nt
嗅覺、咳嗽,nz
， 3 月 1 日至 4 月 5 日,nz
強制家居檢疫。 4 月 1 日出現流鼻水症狀。,nz
， 4 月 6 日返港後,nz
病徵。（衛生防護中心於 4 月 8 日公佈,nt
 4 月 5 日返港，惟根據,nz
 4 月 6 日返港。）,nz
英國， 3 月 31 日,nz
流鼻水，4 月 5 日返港後,nz
 1 月至 4 月 4 日,nr
，與太太（第 #834 宗個案,nz
法國巴黎，3 月中一同返港，檢疫期間並無病徵。 4 月 6 日,nz
樣本屬陽性，,nz
英國，3 月 25 日與家人（第 #479 、#188  及 #189 宗個案,nz
）從,nr
港。 4 月 4 日,nt
第 #833 宗個案,nz
，無外遊紀錄。 4 月 4 日,nz
腹瀉，由檢疫中心,nt
銅鑼灣,nr
皇室堡,LOC
馬莎,nr
卡拉 OK 聚會。與第 #903 及 #925 宗個案,nz
，與確診者,nr
接觸，,nz
環境,n
因素,n
17 名,m
，無外遊紀錄，為上水石湖墟門診,nz
助理,n
，負責清潔,nz
一天,TIME
打鼓嶺,v
與診,nr
病人,n
深喉唾液樣本， 4 月 3、4、6 ,nt
。 4 月 3 日出現喉嚨痛。衞生防護中心,nt
夜間,v
必,d
勝,v
客,n
薄餅,v
博士,n
清潔。,ns
貨機機師，過,nz
， 3 月 28 日至 4 月 3 日,nz
哈薩克。 3 月 30 日開始喉,nt
，3 月 20 日返港，,nz
馬來西亞。 4 月 5 日返港，,nz
芬蘭，,nr
病徵。衞生防護中心,nt
指出,v
 4 月 18 日出院，4 月 21 日,nt
適經,v
急,a
，檢測後,nr
病毒數值,nz
英國。 4 月 1 日開始咳嗽， 4 月 4 日返港，,nt
第 #499 宗個案,nz
（D,v
usk Till Dawn 酒吧員工）,nt
緊密接觸者，,nz
，無外遊紀錄。 4 月 5 日開始發燒，由檢疫中心,nt
， 2 月 28 日至 3 月 26 日,nz
英國，與第 #652 、#659 、#701 及 #880 宗個案,nz
為兩個月大嬰兒，過,nr
， 3 月 13 日至 4 月 1 日,nz
傭 （第 #897 宗個案,nz
，無外遊紀錄，與第 #903 宗個案,nz
為舊,nr
，馬莎,nr
，暫時無業， 3 月 25 日,nr
聚會。 4 月 1 日,nt
 1 月中至 3 月 23 日,nz
第 #932 宗,m
第 #958 宗個案,nz
，無外遊紀錄。 3 月 30 日,nz
嗅覺、呼吸困難,nz
背痛。,nz
第 #957 宗個案,nz
，無外遊紀錄。 4 月 7 日,nz
強制家居檢疫。 3 月 30 日開始呼吸困難。,nz
，無外遊紀錄。 3 月 31 日到第 #801 及 #849 宗個案,nz
舉行,v
會議，當,nr
 7 至 8 名與會者。 4 月 3 日,nz
籍,n
銀行,v
文員,n
接待,v
員，與,nr
。 4 月 1 日,nz
頭暈。,nr
員。與,nr
4月1日,TIME
》,w
唔知係邊個,nr
英國。 4 月 6 日返港，,nz
強制家居檢疫。 4 月 8 日,nt
英國， 3 月 25 日,nt
， 4 月 6 日返港，,nz
， 2 月 5 日至 4 月 4 日,nt
， 1 月 19 日至 4 月 5 日,nz
強制家居檢疫。 3 月 14 日開始發燒、咳嗽、,nt
， 2 月 1 日至 4 月 4 日,nz
強制家居檢疫。 3 月 30 日開始發燒，與第 #921 宗個案,nt
嗅覺，4 月 8 日返港，,nz
於上環,nr
利園,v
一期,m
平常,a
夜晚,t
信德中心,LOC
對外,v
慢跑,v
日期為 4 月 3 日， 4 月 4 日出現發燒， 4 月 8 日,nt
 4 月 12 日出院，,nt
呼吸困難症,nz
。 3 月 20 日開始咳嗽， 4 月 6 日返港，,nz
。 4 月 5 日返港後，,nz
荃灣帝盛酒店,nt
強制檢疫。,nz
， 2 月 27 日至 3 月 23 日,nz
荷蘭。,nr
， 3 月 3 日至 20 日,nz
過美國。 3 月 27 日,nz
外遊紀錄，曾光顧 Centre Stage 酒吧，屬「,nt
樂隊」群組。 ,nz
 21 日開始發燒。,nz
40 日,m
大嬰,n
兒）,nr
爸爸,n
第 #891 宗個案,nz
，與第 #462 宗個案,nz
關連。 4 月 8 日出現發燒症狀，由檢疫中心,nt
英國留學。 3 月 18 日返港，沒有出現病徵。,nz
 3 月 18 及 20 日,nz
過 All Night Long 酒吧。 3 月 28 日,nt
 3 月13 至 24 日,nz
法國。 3 月 17 日,nz
感覺,v
痊癒,v
檢,v
疫,n
檢疫後,nr
擔心，故留深喉唾液化驗，結果,nz
， 1 月 15 日至 3 月 20 日,nz
擔心,v
私家化,vn
測試，結果,nr
美國留學。 3 月 27 日返港，,nz
後進行強制家居檢疫，,nt
英國留學。 3 月 30 日出現流鼻水症狀， 4 月 9 日返港，,nz
，3 月 17 日至 4 月 8 日,nz
。4 月 7 日,nz
， 3 月 4 日至 4 月 8 日到過加拿大，返港後,nz
 2 月 28 日至 4 月 8 日,nt
強制家居檢疫。 3 月 19 日,nt
， 4 月 8 日返港，,nz
， 4 月 9 日返港後,nz
亞洲博覽館送院。,nt
，4 月 8 日返港,nz
， 2 月 5 日至 4 月 8 日,nz
強制家居檢疫。 4 月 2 日開,nt
始,v
， 2 月 22 日至 3 月 25 日,nz
， 4 月 4 日返港，,nz
強制家居檢疫。 4 月 9 日開始發燒。,nt
，與第 #629 宗個案,nz
 3 月 13 至 24 日,nz
過英國，由檢疫中心,nt
與第 #777 宗個案,nz
美國居住。 3 月 30 日返港，,nz
檢疫中心送院。 4 月 1 日,nt
， 2 月 1 日至 4 月 7 日,nz
強制家居檢疫。 3 月 28 日開始發燒。,nt
英國旅遊兩個月， 4 月 10 日返港，從亞洲博覽館送院,nt
，為英國留學生， 4 月 10 日返港，,nz
亞洲,LOC
博覽,LOC
， 3 月 13 日至 24 日,nz
英國。 4 月 7 日,nz
學生，與第 #843 宗個案,nz
（同為美,nr
關連。 3 月 29 日返港，,nz
，無外遊紀錄，為第 #976 宗個案,nz
女朋友,n
兩次,m
 All Night Long 酒吧,nt
， 3 月 5 日至 4 月 10 日,nz
亞洲博覽館送院。 3 月 25 日,nt
， 2 月 14 日至 4 月 9 日,nz
強制家居檢疫，沒有出現病徵。,nz
， 3 月至 4 月 9 日,nr
強制家居檢疫。 3 月 31 日開始頭痛。,nt
美國旅遊， 4 月 9 日,nt
強制家居檢疫。 4 月 12 日確診，並無出現病徵。,nz
第 #902 宗個案,nz
， 4 月 1 日發燒、,nr
英國留學， 3 月 29 日返港，,nz
 4 月 17 日出院，出院後出現流鼻水症狀，4 月 21 日,nt
學生，為第 #956 宗個案,nt
加拿大。 3 月 28 日返港，,nz
檢疫， 4 月 8 日開始喉,nt
英國旅遊，,nz
巴拉圭,LOC
遊輪,n
珊瑚,n
號 ,nr
 Coral Princess ) 。 4 月 12 日返港，,nz
亞洲博覽館留深喉唾液樣本檢驗後,nt
第 #988 宗個案,nz
 2 月 5 日至 4 月 8 日,nz
第 #884 宗,m
病徵 。,nr
為 14 個月,nr
大孩,n
童，與,PER
 2 月 1 日至 4 月 7 日,nz
傭工為 第 #993 宗個案患者。 4 月 9 日交回大便樣本，檢驗結果為初步陽性，由檢疫中心轉,nt
跟進,v
英國， 4 月 12 日返港，,nz
亞洲博覽館送院。 3 月 25 日在英國,nt
發燒、咳嗽,nz
 3 月 11 日至 4 月 13 日到過美國，,nz
美國留學生， 4 月 13 日從美國返港，,nz
學生， 3 月 24 日抵港，,nt
當時,nr
加強,v
留深喉,v
檢驗。,nr
親帶,v
兄弟,n
檢驗結果,v
陽性，沒有出現病徵。,nz
英國， 4 月 14 日返港，,nz
， 並無出現病徵。,nz
 2 月尾至 4 月 10 日,nz
港，4 月 10 日在廣州白雲機場接受核酸測試，結果呈陰性。抵港後在酒店進行強制家居檢疫，4 月 11 日,nt
大便,n
血,n
瑪嘉烈醫院,nr
港，並已確診。（衞生防護中心,nt
 4 月 16 日,nz
 4 月 11 日乘搭酒店,nt
大巴,n
葵芳港,LOC
小巴,nr
醫院；,nr
 4 月 21 日將,nz
定性,v
為無病徵,nr
英國，3 月 17 日,nz
咳嗽， 4 月 14 日返港，,nz
無病,v
妻,n
康復。,PER
荷蘭，4 月 14 日抵港，,nz
強制家居檢疫，並無出現病徵。,nz
。 4 月 1 日從英國返港， 4 月 2 日測試結果,nt
強制檢疫。檢疫期完畢從酒店乘的士回家， 4 月 13 日開始發燒及喉嚨痛， 4 月 15 日到明愛醫院,nt
診，檢測結果為陽性。 ,nz
。 4 月 16 日從英國回港，,nz
，並無,nr
。4 月 2 日開始咳嗽， 4 月 16 日從英國回港，,nz
， 3 月 17 日曾經發燒、咳嗽,nz
味覺，兩日後,nr
恢復,v
3 ,m
病徵。 4 月 16 日從英國回港，,nt
， 3 月 21 日回港後,nz
強制檢疫，當時並,nr
深喉唾液樣本檢驗。  完成強制檢疫回家後， 4 月 11 日開始頭痛， 4 月 13 日前往私家醫院。潛伏期較長，期間曾與朋友聚會，,nt
病徵後,nr
商場。,nr
孩童,n
， 4 月 10 日與母親（第 #994  宗個案,nz
港。4 月 16 日開始流鼻水，由檢疫中心,nt
為菲律賓留學生，過,nr
。 4 月 17 日從當地返港，並無出現病徵。,nz
教師，,v
 1 月以後,nr
英國。 4 月 17 日經多哈返港，,nt
深喉唾液樣本測試後呈陽性，期間,nz
一度,d
，為維珍,nr
職員,v
協助,v
分流,v
行李,n
， 2 月 20 日至 25 日,nz
過英國。 4 月 6 ,nr
，發病期間,nr
崗位,n
， 4 月 18 日取樣本後確診。,nz
第 #1028 宗個案,nz
。 4 月 15 日,nz
嚨痕,n
癢、,nr
鼻塞症狀， 4 月 20 日從美國返港，夫婦,nz
同在,v
館後檢疫，並,nr
第 #1027 宗個案,nz
。 4 月 7 日,nz
鼻塞， 4 月 20 日從美國返港，夫婦,nz
亞洲博覽館後檢疫並,nt
英國留學生，過,nz
。 4 月 20 日與母親,nz
亞洲博覽館送院，,nt
， 2 月 26 日至 4 月 20 日,nz
， 3 月 5 日至 4 月 21 日,nz
 3 月 24 日發燒，其後病徵消退，4 月 21 日返港後,nz
， 4 月 21 日返港後,nz
 2 月 3 日至 4 月 12 日,nz
英國探親，返港後,nz
強制家居檢疫。 4 月 20 日交回糞便樣本，檢驗,nt
母親檢測結果為陰性。,nz
， 3 月 13 日至 4 月 21 日與,nz
亞博,nr
味覺。太太檢疫結果為陰性。,nz
 3 月 8  至 24 日,nz
美國，24 日從美國返港。抵港後進行家居檢疫，,nz
檢疫後，4 月 7 日,nr
，4 月 9 日,nr
中環萬邦行,nt
牙醫，4 月 21 日,nz
文華東方酒店,LOC
理髮。,nz
服務式,a
住宅,n
 3 月 26 日,nz
味覺，4 月 21 日,nz
醫生並,nr
樣本檢驗。,nz
英國留學生，3 月 28 日失去嗅覺，4 月 24 日返港,nz
第 #658 及 #706 宗個案,nz
警，,n
六口,m
 4 月 7 日從,nz
孫女 （第 #993 及 #1009 宗個案,nz
則與,v
八鄉檢疫中心，,nt
檢疫後再測試，結果呈陽性，由檢疫中心,nt
其他人,r
，4 月 30 日,nz
專機,v
留樣,v
駿洋邨檢疫中心並由檢疫中心,ORG
任何,r
，3 月 3 日與,nz
，4 月 ,nr
本後,PER
港後病毒檢測呈陰性，,nz
 4 月 11 日曾失去嗅覺、喉嚨痛,nz
後病徵,nr
消退,v
。5 月 4 日抵港探親，抵港時無病徵，深喉唾液樣本對病毒,nz
，2 月 14 日與,nz
，5 月 6 日乘包機經多哈回港，留深喉唾液樣本後入住駿洋邨檢疫中心，由檢疫中心,nt
第 #1044 宗,m
姪兒，,nr
 4 月尾,nr
食晚飯,nz
， 2 月 3 日獨,nz
5,m
 月 6 日與表,nr
乘包,v
機經,v
港，留深喉唾液樣本後入住駿洋邨檢疫中心，由檢疫中心,nt
，3 月 6 日,nz
第 #1042 宗個案,nz
叔叔,n
。5 月 6 日乘包機經多哈回港，留深喉唾液樣本後入住駿洋邨檢疫中心，由檢疫中心,nt
， 4 月 11 日與,nz
5 月 6 日乘包機經多哈回港，留深喉唾液樣本後入住駿洋邨檢疫中心，由檢疫中心,nt
2019 年,t
 8 月,nr
過當地診所及參加葬禮。5 月 9 日,nt
 QR818 航班返港，,nz
，5 月 9 日,nz
，2 月初至 5 月 10 日,nz
 3 月 27 日確診，,nz
 4 月 8 日有氣促病徵，,nz
英國醫療人員上門檢查，,nz
嚴,v
重，,n
病毒測試。5 月 10 日,nz
 CX252 航班從英國返港，返港時並無病徵，,nz
婦，過,nr
，無外遊紀錄。5 月 8 日,nz
咳嗽，5 月 11 日,nz
醫 ，,nr
交,v
回樣本檢驗，結果對病毒,nz
荃灣楊屋道街市,LOC
購物,n
照,v
顧孫女。孫女,nr
確診，為第 #1050 宗個案,nz
第 #1052 宗,m
第 #1049 及 #1052 宗個案,nz
，5 月 11 日,nz
祖母,n
徵後轉,nr
外婆家,n
。5 月 2 日,nz
補習社補習，5 月 9 日,nt
飯，飯聚,nz
十多,m
全列為緊密接觸者。5 月 10 日與母親,nz
奧海城,LOC
午餐,n
， 3 月 12 日至 5 月 9 日,nz
，5 月 9 日多哈回港，抵港當日檢測結果為陰性。,nz
駿洋邨檢疫中心，5 月 12 日開始發燒，由檢疫中心轉送伊利莎伯醫院。患者為第 #1049 宗個案,nt
檢疫中心。測試結果對病毒呈陽性反應，由檢疫中心送院，,nt
卓明樓樓下,nt
經營,v
流動,v
鐘錶,v
維修攤檔。,nr
私人機師，第 #743 宗個案,nt
，3 月 3 - 31 日,nz
美國、英國及法國，3 月 15 日,nz
港，3 月 15 至 16 日曾與女友見面，3 月 16 日前往法國，,nz
 2 天，3 月 31 日返港。,nz
 3 月 15 及 31 日返港時,nz
病徵，4 月,nr
結果,n
陰性，5 月 9 日,nz
檢測抗體,nr
大嶼山,LOC
水上,s
活動,n
手指,n
傷，,nr
北大嶼山醫院,ORG
醫，其後確診。,nr
 2019 年 12 月 4 日,nz
印象,n
港覆診，5 月 16 日經多哈回港，由駿洋檢疫中心送院，沒有病徵。患者為第 #1056 宗個案,nt
女兒，過,nz
，3 月 6 日與祖母、母親,nz
。5 月 16 日經多哈回港，沒,nt
第 #1055 宗個案,nz
，3 月 6 日與丈夫母親、兒子,nz
。5 月 15 日,nz
輕微咳嗽，16 日經多哈回港，抵港後,nt
駿洋檢疫中心,nt
17 ,m
日感,n
加,v
劇,n
，1 月 29 日與,nz
港，20 日乘 QR818 經多哈抵港，入住檢疫中心,nt
兒子為第 #1058 及 #1059 宗個案,nz
第 #1057 宗個案,nz
兒子、第 #1059 宗個案,nz
，1 月 ,nr
29日,TIME
港，20 日乘 QR818 經多哈抵港。,nt
兒子、第 #1058 宗個案,nz
 5 月 16 日頭痛，,nr
21 日,m
， 2 月 6 日與,nz
，5 月 20 日乘 QR818 經多哈回港，,nt
第 #1061 及 #1062 宗個案,nz
親戚，,nr
，與母親（第 #1062 宗個案,nz
）、,nr
姨姨,n
 3 月4 日,nr
第 #1060 宗個案,nz
侄女,n
，與兩名女兒（,nz
一名為第 #1061 宗,m
，5 月 20 日乘 QR818 經多哈回港，沒有病徵。患者與 #1060 宗個案,nt
為妯娌關係。,nr
， 3 月 6 日與媳婦（第 #1056 個案,nz
兩名孫兒,nr
孫女為第 #1055 宗個案,nz
）回,v
，5 月 16 日經多哈回港，其後入住檢疫中心。5 月 20 日,nt
， 3 月 7 日,nz
5 月 20 日乘 QR818 經多哈回港，,nt
12 ,m
月,n
 月至 5 月,nr
寄宿,vn
長者,n
同住者,n
 5 月 ,nr
252 ,m
亞洲博覽館檢測中心,nt
陽性反應，未有出現病徵。,nz
 3 月 30 日去荷蘭探親，沒與確診者接觸，4 月 16 日出現發燒、咳嗽,nz
喉嚨痛，後來,nz
好轉，5 月 14 日,nz
 KL887 號,nr
亞洲博覽館檢測呈陰性。返港後於海麗邨海瑞樓進行家居隔離， 5 月 20 日,nt
覺得,v
癒，,v
故聯絡衞生署，獲,nt
，4 月 10 日出現流鼻水症狀，5 月 26 日返港，,nz
富豪東方酒店,nt
，3 月與,nz
，5 月 28 日與,nz
檢測結果,nr
陰性。,nz
，1 月 19 日與 3 名子女（第 #1070、#1071 及 #1073 宗個案,nz
第 #1072 宗個案,nz
婚禮。5 月 28 日與,nz
檢疫中心送院，,nt
，第 #1069 宗個案,nz
女兒，1 月 19 日與母親,nz
第 #1071 及 #1073 宗個案,nz
港，由檢疫中心,ORG
兒子，1 月 19 日與母親、,nz
（第 #1070 及 #1073 宗個案,nz
，1 月 11 日,nz
婚禮，第 #1069、#1070、#1071 及 #1073 宗個案,nz
婚禮。5 月 28 日返港，由檢疫中心送院，,nt
，1 月 19 日與母親、,nz
第 #1069、#1070 及 #1071 宗個案,nz
，2 月 27 日,nz
，5 月 28 日與朋友（第 #1075 宗個案,nt
，3 月 21 日,nz
，5 月 28 日與朋友（第 #1074 宗個案,nz
第 #1077 宗個案,nz
女兒，第 #1083 宗個案,nz
，1 月與,nz
，5 月 28 日返港，,nz
第 #1076 及 #1083 宗個案,nz
，5 月 28 日返港，由檢疫中心送院，,nt
一年前,TIME
，5 月 28 日抵港，,nz
第 #1082 宗個案,nz
父親，過,nz
，2 月 3 日,nz
 月 28 日,nr
父子,n
不確定,v
，經覆檢後確診，,nr
第 #1081 宗個案,nz
，2 月 3 日隨父親,nz
兒子，第 #1076 宗個案,nz
，1 月隨母親,nr
，5 月 28 日返港。,nz
年紀小,nr
館,v
駿洋邨檢疫中心隔離，,nt
取得,v
咽喉,n
檢測後確診，,nr
第 #1085 宗,m
，無外遊記錄，與,nz
。5 月 22 日,nz
診，26 ,nr
感,v
30 日經救護車送院,nt
神智,n
清。,a
葵涌嘉里物流温控貨倉,nz
，負責為英國輸,nr
水果,n
蔬菜,n
包裝貼標籤，,nz
手套,n
。衞生防護中心,nt
聯,v
絡,n
點，,v
二,m
葵聯邨聯悅樓，,nz
",",w
有待,v
衞生署再檢驗。患者為第 #1084 宗個案,nt
，無業，,nr
負責,v
瀝源邨,LOC
禾輋邨街市購物。5 月 26 日,nt
28 日,m
輕微發燒。,nr
第 #1084 及第 #1087 宗個案,nt
葵涌嘉里物流貨倉工作，過,nz
，無外遊紀錄。,nz
 4 月 27 日開始發燒、咳嗽及喉嚨痛，4 月 29 日,nt
 4 月 27 日,nz
 5 月 7 日,nz
除了,p
 5 月 28 日,nz
葵盛東邨街市,LOC
第 #1084 及第 #1086 宗個案,nt
 4 月 25 日,nz
看過,v
 4 月 25 日至 4 月 30 日期間告病假，,nz
餸,v
兒子未有病徵。,nz
為救護員，過,nr
 5 月 30 日接載第 #1084 號個案,nz
醫院，當時,nr
戴,v
眼罩,n
外科,n
救護車,nr
風險,n
程序,n
，惟,v
配戴,v
 N95 呼吸器,nz
一城,m
牛角,n
膳，之後,nr
夜,t
顯田邨,LOC
一晚,TIME
第 #1084 宗個案,nz
除,p
以外,f
為陰性，,v
 5 月 29 日接送確診,nz
醫院，故感染源頭,nt
查證,v
。（衛生防護中心,nt
 6 月 4 日,nr
與女兒、,nr
日常,a
顧孫女、,nr
禾輋街市,LOC
瀝源街市購物。5 月 29 日開始輕微咳嗽，6 月 1 日開始輕微頭痛。6 月 1 日留深喉唾液樣本，測試後,nt
瀝源街市,LOC
 月 23 日,nr
探訪,v
。6 月 1 日留深喉唾液樣本，測試後證實對病毒,nz
 6 月 3 日,nz
，無外遊記錄，與母親,nz
胞,n
姊,n
。5 月 30 日,nz
好運中心,LOC
偉華,vn
過禾輋,nr
和平,a
餐室,n
意樂餐廳，6 月 1 日,nz
好運中心達成藥房。6 月 1 日留深喉唾液樣本測試後,nt
，無外遊記錄，與兒子,nr
祿泉樓,nr
第 #1084 及 #1085 宗個案,nz
沙田中央公園晨,ORG
運，,nr
沙田街市、好運中心,ORG
瀝源邨超市購物，6 月 1 日留深喉唾液樣本測試後,nt
陽性反應。,nz
時發燒、呼吸困難,nz
咳嗽，情況,nz
，情,n
況,v
後轉差，6 月 8 日轉,nz
深切,ad
療部,n
丶,n
洗,v
腎,n
使用,v
呼吸機協助呼吸，並,nz
注射,v
強心針。,nr
療期間,v
持,v
續,n
惡化,v
，6 月 20 日離世。（衛生防護中心,nt
，3 月 6 日至 5 月 16 日與祖母（第 #1063 宗個案,nz
）、母親（第 #1056 宗個案,nz
（第 #1055 宗個案,nz
。5 月 16 日乘 QR818 經多哈回港，抵港後入住檢疫中心,nt
檢測中心第 12 天留深喉唾液樣本檢測後,nt
，無外遊記錄，為第 #1063 宗個案,nz
為照顧,nr
，3 月中,nr
孟加拉,LOC
，6 月 3 日乘國泰港龍航空 KA734 經馬來西亞抵港，抵港後入住鯉魚門渡假村檢疫中心，後由檢疫中心,nt
第 #1097 宗個案,nz
胞妹,n
，6 月 3 日乘國泰港龍航空 KA734 經馬來西亞抵港，抵港後,nt
鯉,v
魚門渡假村檢疫中心，後由檢疫中心,nt
院。母親,nz
第 #1096 宗,m
女兒對病毒,nz
， 3 月與兒子,nr
，6 月 3 日乘國泰港龍航空 KA734 經馬來西亞抵港，抵港後入住鯉魚門渡假村檢疫中心，後由檢疫中心送院。6 月 4 日開始發燒。,nt
， 2 ,nz
高血壓，與,nz
瀝源邨祿泉樓，6 月 1 日,nt
深喉唾液樣本，結果,nz
陰性。6 月 3 日出現發燒，6 月 4 日確診。,nz
多數,n
只有,v
 5 月 30 日曾短暫離開住室，與朋友會面數,nt
，當時他們,nr
口罩。與第 #1084 宗個案,nz
，6 月 4 日返港，由檢疫中心送院。與第 #1102 宗個案,nt
關聯，沒有病徵。,nz
2 ,m
，6 月 4 日返港，由檢疫中心送院。與第 #1101 宗個案,nt
，6 月 5 日返港，,nz
 月,n
喉嚨痛、失去嗅覺,nz
味覺症狀數日，6 月 5 日返港，,nz
，5 月 28 日,nz
港，6 月 4 日開始發燒，由檢疫中心送院。患者與第 #1106 及 #1108 宗個案,nt
，5 月 28 日返港，6 月 4 日,nz
菲律賓，6 月 6 日抵港，,nz
亞洲國際博覽館送院,nt
，3 月 1 日至 5 月 28 日,nz
6 月 6 日開始咳嗽，由檢疫中心送院。患者與第  #1105 及 #1106 宗個案,nt
，為第 #1084 宗個案,nz
姑奶，第 #1085 宗個案,nz
祿泉樓。,v
弟,n
婦確,v
緊密接觸者，5 月 31 日,nz
中心期,n
間發燒，,nr
測試，,nr
 6 月 1 日,nz
鼻咽,n
拭子,n
咽喉拭子樣本測試結果,nz
後退,v
燒並,nr
 6 月 2 日出院,nt
 6 月 11 日結束檢疫,nz
提交,v
深喉唾液樣本呈陽性，確診,nz
瀝源邨祿泉樓，與第 #1084、#1085 及 #1109 宗個案,nz
為鄰居，6 月 4 日,nr
檢疫中心，同日出現發燒並,nt
住院期,n
咽喉拭子樣本、深喉,nz
糞便樣本檢測結果,nz
 6 月 12 日接受支氣管鏡檢查，支氣管分泌樣本檢測結果,nt
 6 月 4 ,nr
此前,t
外出,v
，除,v
兄長,n
該兩名兄長,nr
檢疫。兩名兄長,nr
，2 月 5 日至 6 月 14 日,nz
，5 月 31 日出現咳嗽、發燒,nz
嗅覺症狀，返港後,nz
，2 月 2 日至 6 月 2 日,nz
俄羅斯，返港,ns
強制家居檢疫，與第 #1113 宗個案,nz
強制家居檢疫，與第 #1112 宗個案,nz
菲律賓，6 月 ,nr
，2 月 7 日至 6 月 16 日,nz
，2019 年 12 月至 6 月 16 日,nz
徵。她與第 #1117 宗個案,nz
徵。她與第 #1116 宗個案,nz
，2019 年 11 月至 6 月 16 日,nz
，6 月 8 日,nz
6 月 16 日返港，由檢疫中心送院，確診時,nt
，3 月 6 日至 6 月 16 日,nz
，2 月 9 日,nz
，6 月 16 日返港，由檢疫中心送院，,nt
，2 月 11 日,nz
，6 月 16 日返港，,nz
徵。她與第 #1124 及 #1125 宗個案,nz
6 月 10 日出現喉嚨痛，6 月 16 日返港，由檢疫中心送院，確診時,nt
徵。他與第 #1123 及 #1125 宗個案,nz
